txn_id,customer_id,txn_date,txn_amount,txn_type,category,merchant_name
T00102,C0038,2025-04-30 08:33:36,9045.45,Debit,Bills,Uber
T00103,C0110,2025-02-22 12:15:38,1817.39,Debit,Bills,Amazon
T00104,C0360,2025-05-12 09:59:15,6910.5,Debit,Healthcare,Uber
T00105,C0289,2025-04-05 18:39:15,1855.02,Credit,Salary,Zomato
T00106,C0021,2025-02-05 12:01:48,5460.73,Credit,Salary,Uber
T00107,C0343,2025-03-03 19:19:20,1920.2,Credit,Food,Goldman Sachs
T00108,C0309,2025-05-16 02:17:48,3377.66,Credit,Travel,Swiggy
T00109,C0068,2025-04-04 18:58:28,864.0,Debit,Salary,Paytm
T00110,C0273,2025-04-03 06:22:00,8471.68,Credit,Salary,Uber
T00111,C0215,2025-01-11 16:16:22,1585.97,Debit,Bills,Paytm
T00112,C0429,2025-04-21 22:57:25,8060.39,Debit,Bills,Zomato
T00113,C0341,2025-03-15 07:28:57,2003.48,Credit,Travel,Uber
T00114,C0400,2025-02-24 02:12:52,6757.09,Debit,Healthcare,Goldman Sachs
T00115,C0328,2025-02-17 23:56:48,4112.31,Debit,Shopping,Amazon
T00116,C0037,2025-06-17 13:22:35,5442.75,Debit,Shopping,Uber
T00117,C0083,2025-06-27 19:06:54,2300.48,Debit,Travel,Flipkart
T00118,C0494,2025-03-23 10:51:11,3455.67,Debit,Shopping,Zomato
T00119,C0180,2025-06-24 22:21:37,5480.97,Credit,Salary,Uber
T00120,C0302,2025-07-10 14:47:51,765.74,Debit,Salary,Goldman Sachs
T00121,C0068,2025-05-16 16:50:49,1524.81,Credit,Food,Flipkart
T00122,C0378,2025-01-14 07:22:37,3046.57,Debit,Food,Zomato
T00123,C0205,2025-02-16 07:15:50,1838.19,Credit,Travel,Zomato
T00124,C0049,2025-02-18 08:47:17,6954.53,Credit,Shopping,Amazon
T00125,C0310,2025-01-30 08:32:22,4475.09,Credit,Travel,Goldman Sachs
T00126,C0472,2025-04-15 06:22:33,4848.26,Debit,Shopping,Goldman Sachs
T00127,C0013,2025-06-17 03:19:24,1069.66,Credit,Shopping,Paytm
T00128,C0153,2025-05-14 02:29:18,8179.48,Debit,Travel,Flipkart
T00129,C0351,2025-06-22 00:05:28,5167.37,Debit,Healthcare,Swiggy
T00130,C0412,2025-06-13 19:03:51,6882.09,Credit,Healthcare,Flipkart
T00131,C0143,2025-06-14 13:56:26,8663.17,Debit,Healthcare,Goldman Sachs
T00132,C0392,2025-06-09 20:40:42,3022.65,Debit,Bills,Uber
T00133,C0032,2025-02-18 20:09:00,8755.8,Credit,Healthcare,Goldman Sachs
T00134,C0459,2025-06-14 07:18:40,8261.75,Credit,Food,Goldman Sachs
T00135,C0372,2025-05-09 16:41:04,6940.21,Credit,Salary,Amazon
T00136,C0399,2025-07-07 06:38:45,2276.16,Debit,Salary,Flipkart
T00137,C0227,2025-05-07 22:51:43,228.03,Debit,Salary,Zomato
T00138,C0328,2025-06-10 14:57:17,720.71,Debit,Shopping,Flipkart
T00139,C0059,2025-04-23 09:08:27,2765.64,Credit,Bills,Uber
T00140,C0026,2025-04-01 06:07:55,7376.45,Credit,Food,Paytm
T00141,C0216,2025-06-01 04:23:31,7854.3,Debit,Salary,Zomato
T00142,C0248,2025-06-26 17:44:26,3472.03,Credit,Healthcare,Amazon
T00143,C0208,2025-05-10 23:21:35,106.52,Debit,Food,Swiggy
T00144,C0202,2025-05-15 22:09:04,9853.72,Credit,Healthcare,Goldman Sachs
T00145,C0482,2025-03-19 07:19:52,7275.68,Debit,Bills,Paytm
T00146,C0020,2025-02-23 03:56:51,9261.83,Debit,Food,Flipkart
T00147,C0177,2025-06-01 12:13:54,9943.34,Credit,Travel,Goldman Sachs
T00148,C0374,2025-04-13 23:28:05,1359.02,Credit,Shopping,Paytm
T00149,C0030,2025-03-16 14:48:17,9676.34,Debit,Salary,Goldman Sachs
T00150,C0491,2025-04-13 17:44:08,3924.18,Credit,Shopping,Flipkart
T00151,C0069,2025-04-02 07:39:06,8076.46,Debit,Food,Paytm
T00152,C0116,2025-06-11 06:55:32,9244.45,Credit,Salary,Zomato
T00153,C0408,2025-06-18 10:23:26,9263.95,Credit,Bills,Uber
T00154,C0271,2025-06-07 08:37:47,4839.92,Credit,Travel,Swiggy
T00155,C0313,2025-06-21 20:13:11,9280.26,Debit,Salary,Uber
T00156,C0315,2025-01-20 20:45:49,2128.73,Debit,Shopping,Swiggy
T00157,C0415,2025-02-09 04:25:12,3942.1,Debit,Bills,Goldman Sachs
T00158,C0103,2025-06-16 01:46:40,8258.82,Credit,Healthcare,Uber
T00159,C0321,2025-06-02 03:27:21,8091.17,Debit,Travel,Flipkart
T00160,C0273,2025-04-14 17:38:37,3009.23,Debit,Salary,Flipkart
T00161,C0180,2025-07-08 04:08:22,1493.82,Credit,Salary,Goldman Sachs
T00162,C0359,2025-01-28 20:03:35,4843.16,Debit,Shopping,Zomato
T00163,C0087,2025-06-26 10:54:54,9918.4,Credit,Bills,Uber
T00164,C0414,2025-04-05 03:52:30,166.38,Debit,Salary,Zomato
T00165,C0127,2025-01-13 21:14:00,5316.01,Debit,Salary,Paytm
T00166,C0364,2025-06-16 19:53:52,5094.31,Credit,Travel,Flipkart
T00167,C0197,2025-05-17 16:02:20,8855.29,Credit,Travel,Zomato
T00168,C0432,2025-05-07 05:39:44,5661.72,Debit,Shopping,Amazon
T00169,C0137,2025-01-20 22:56:19,6435.26,Credit,Travel,Zomato
T00170,C0020,2025-04-29 17:44:13,9891.38,Debit,Salary,Zomato
T00171,C0176,2025-02-20 16:49:20,8225.98,Debit,Food,Zomato
T00172,C0294,2025-03-06 05:57:56,9317.04,Credit,Travel,Zomato
T00173,C0407,2025-04-08 17:51:39,6048.55,Debit,Healthcare,Uber
T00174,C0267,2025-07-06 04:48:34,2962.12,Credit,Bills,Zomato
T00175,C0328,2025-06-12 00:56:34,7299.81,Debit,Bills,Flipkart
T00176,C0187,2025-05-18 22:08:15,8127.97,Debit,Food,Goldman Sachs
T00177,C0235,2025-02-25 02:19:46,267.13,Credit,Salary,Amazon
T00178,C0105,2025-07-06 01:01:52,7059.05,Debit,Food,Zomato
T00179,C0162,2025-07-04 01:37:46,3043.63,Credit,Travel,Uber
T00180,C0072,2025-06-20 00:28:01,9109.97,Debit,Salary,Paytm
T00181,C0226,2025-01-21 21:20:50,4685.89,Credit,Food,Flipkart
T00182,C0286,2025-07-09 20:05:55,4743.08,Debit,Travel,Paytm
T00183,C0336,2025-03-30 11:05:42,807.2,Debit,Shopping,Flipkart
T00184,C0488,2025-02-23 13:54:35,7247.23,Debit,Travel,Swiggy
T00185,C0359,2025-01-14 18:01:43,2541.13,Debit,Shopping,Zomato
T00186,C0342,2025-04-02 22:54:43,8815.04,Debit,Bills,Paytm
T00187,C0226,2025-03-30 14:01:12,8815.79,Credit,Shopping,Amazon
T00188,C0267,2025-05-24 19:43:16,9435.09,Credit,Salary,Swiggy
T00189,C0389,2025-02-06 15:48:37,6542.77,Debit,Travel,Paytm
T00190,C0474,2025-02-21 06:50:33,9630.75,Debit,Healthcare,Swiggy
T00191,C0323,2025-05-30 21:22:27,8301.93,Credit,Healthcare,Swiggy
T00192,C0044,2025-01-27 09:23:31,2625.39,Debit,Travel,Amazon
T00193,C0136,2025-01-31 07:59:58,3660.21,Credit,Shopping,Swiggy
T00194,C0453,2025-05-04 18:42:48,2124.46,Debit,Healthcare,Goldman Sachs
T00195,C0234,2025-03-14 22:07:07,7879.28,Credit,Shopping,Amazon
T00196,C0367,2025-07-05 00:28:34,8549.66,Debit,Food,Flipkart
T00197,C0222,2025-06-15 21:13:14,444.63,Credit,Bills,Amazon
T00198,C0130,2025-03-13 17:25:35,5468.74,Credit,Food,Goldman Sachs
T00199,C0395,2025-01-20 02:23:14,873.41,Credit,Travel,Paytm
T00200,C0338,2025-06-20 17:13:29,1454.82,Credit,Travel,Swiggy
T00201,C0148,2025-07-01 16:23:24,1311.1,Debit,Shopping,Uber
T00202,C0026,2025-07-05 00:04:22,7078.54,Debit,Travel,Goldman Sachs
T00203,C0201,2025-03-21 06:54:00,3261.58,Credit,Bills,Goldman Sachs
T00204,C0247,2025-04-18 22:02:42,6621.57,Credit,Food,Paytm
T00205,C0193,2025-05-28 23:25:11,8002.32,Credit,Food,Flipkart
T00206,C0433,2025-04-30 23:52:26,4979.52,Debit,Bills,Uber
T00207,C0033,2025-03-03 20:13:25,1877.59,Credit,Healthcare,Flipkart
T00208,C0052,2025-05-06 05:15:13,7149.42,Credit,Shopping,Uber
T00209,C0105,2025-02-21 17:03:21,7018.75,Credit,Travel,Amazon
T00210,C0082,2025-06-12 00:19:03,2327.52,Debit,Healthcare,Flipkart
T00211,C0063,2025-06-22 17:40:10,2240.21,Credit,Food,Amazon
T00212,C0355,2025-07-08 09:17:24,2138.3,Debit,Shopping,Goldman Sachs
T00213,C0413,2025-07-01 01:21:24,1052.06,Debit,Bills,Flipkart
T00214,C0215,2025-03-03 11:23:01,4137.61,Debit,Healthcare,Goldman Sachs
T00215,C0385,2025-06-08 07:39:05,5548.45,Debit,Travel,Amazon
T00216,C0034,2025-02-18 18:11:23,2114.32,Debit,Food,Paytm
T00217,C0161,2025-05-23 12:21:14,6297.89,Debit,Healthcare,Zomato
T00218,C0083,2025-07-06 20:02:04,7565.47,Credit,Travel,Zomato
T00219,C0188,2025-06-28 06:48:29,6494.84,Debit,Healthcare,Uber
T00220,C0328,2025-06-14 07:36:03,50.34,Debit,Food,Amazon
T00221,C0179,2025-06-24 03:47:02,911.07,Credit,Shopping,Paytm
T00222,C0438,2025-02-25 13:19:28,4486.3,Debit,Shopping,Amazon
T00223,C0495,2025-03-18 18:13:00,6875.05,Credit,Shopping,Zomato
T00224,C0327,2025-06-09 01:16:34,3385.32,Credit,Bills,Uber
T00225,C0281,2025-01-19 06:22:27,3069.3,Credit,Salary,Goldman Sachs
T00226,C0207,2025-02-14 19:09:11,3087.06,Debit,Shopping,Goldman Sachs
T00227,C0335,2025-06-01 01:12:49,7135.71,Credit,Healthcare,Swiggy
T00228,C0252,2025-02-07 23:31:21,9938.48,Credit,Travel,Amazon
T00229,C0143,2025-03-23 10:07:38,6698.67,Debit,Healthcare,Amazon
T00230,C0316,2025-06-06 20:02:11,7511.91,Credit,Food,Goldman Sachs
T00231,C0415,2025-02-19 13:23:56,7616.97,Credit,Food,Zomato
T00232,C0178,2025-04-06 17:30:04,918.45,Debit,Healthcare,Uber
T00233,C0475,2025-03-03 08:49:29,9882.43,Debit,Healthcare,Swiggy
T00234,C0332,2025-03-24 03:54:21,4275.2,Credit,Travel,Swiggy
T00235,C0472,2025-05-30 18:18:56,1033.45,Debit,Food,Zomato
T00236,C0320,2025-04-26 10:04:49,6938.75,Credit,Travel,Uber
T00237,C0422,2025-04-18 08:35:40,9084.83,Credit,Travel,Goldman Sachs
T00238,C0363,2025-01-31 17:36:51,3273.14,Debit,Salary,Paytm
T00239,C0240,2025-02-06 06:04:56,6673.0,Credit,Food,Uber
T00240,C0397,2025-05-02 19:16:44,9615.59,Credit,Bills,Amazon
T00241,C0486,2025-06-17 16:23:29,543.08,Credit,Travel,Goldman Sachs
T00242,C0197,2025-04-04 21:42:12,7383.72,Debit,Travel,Flipkart
T00243,C0209,2025-05-24 05:41:14,5238.65,Credit,Food,Paytm
T00244,C0265,2025-03-09 01:50:20,6894.45,Credit,Healthcare,Amazon
T00245,C0049,2025-01-10 13:27:02,6057.13,Debit,Healthcare,Flipkart
T00246,C0320,2025-07-08 17:34:48,2286.93,Debit,Shopping,Zomato
T00247,C0238,2025-05-02 15:15:31,5783.57,Debit,Food,Uber
T00248,C0268,2025-03-18 09:41:07,1615.6,Credit,Healthcare,Goldman Sachs
T00249,C0241,2025-06-13 02:13:09,4986.95,Debit,Salary,Paytm
T00250,C0337,2025-06-12 02:56:46,8194.14,Debit,Salary,Swiggy
T00251,C0004,2025-05-29 10:14:41,1631.4,Debit,Food,Swiggy
T00252,C0050,2025-05-25 19:53:59,5497.21,Debit,Bills,Uber
T00253,C0469,2025-05-16 02:37:47,1894.31,Credit,Healthcare,Zomato
T00254,C0163,2025-03-10 08:09:58,4255.37,Credit,Bills,Swiggy
T00255,C0016,2025-04-24 15:35:42,9503.31,Debit,Healthcare,Flipkart
T00256,C0175,2025-05-19 13:24:27,7558.46,Debit,Shopping,Paytm
T00257,C0365,2025-01-13 14:29:16,4080.48,Credit,Healthcare,Amazon
T00258,C0289,2025-03-07 15:46:04,5008.03,Credit,Healthcare,Goldman Sachs
T00259,C0131,2025-04-15 17:33:35,9972.53,Debit,Shopping,Swiggy
T00260,C0172,2025-04-12 04:29:08,1823.74,Credit,Travel,Uber
T00261,C0235,2025-02-02 12:57:54,5087.14,Credit,Travel,Zomato
T00262,C0490,2025-02-19 18:20:43,6051.95,Debit,Salary,Goldman Sachs
T00263,C0129,2025-05-05 10:17:14,2096.82,Credit,Shopping,Swiggy
T00264,C0388,2025-07-11 01:51:32,2656.75,Credit,Food,Zomato
T00265,C0117,2025-02-15 14:36:11,8867.9,Debit,Healthcare,Paytm
T00266,C0250,2025-06-23 11:09:12,5348.25,Credit,Food,Zomato
T00267,C0381,2025-04-07 16:23:41,4751.36,Credit,Travel,Uber
T00268,C0062,2025-05-18 05:45:17,8180.78,Credit,Shopping,Uber
T00269,C0493,2025-02-04 23:54:02,9544.93,Credit,Food,Zomato
T00270,C0173,2025-05-05 06:52:28,6094.56,Credit,Food,Paytm
T00271,C0437,2025-05-16 10:53:45,8855.34,Debit,Salary,Paytm
T00272,C0354,2025-03-24 06:33:15,6127.47,Credit,Travel,Flipkart
T00273,C0103,2025-05-07 18:50:30,5402.79,Debit,Travel,Paytm
T00274,C0221,2025-03-07 07:27:16,7971.81,Credit,Bills,Amazon
T00275,C0271,2025-05-10 07:19:18,1382.92,Debit,Bills,Zomato
T00276,C0087,2025-02-01 21:32:29,9304.44,Debit,Bills,Amazon
T00277,C0357,2025-05-13 17:45:52,8433.07,Credit,Shopping,Zomato
T00278,C0164,2025-01-12 17:08:50,7288.82,Credit,Salary,Goldman Sachs
T00279,C0161,2025-02-14 18:56:57,4748.74,Debit,Salary,Zomato
T00280,C0339,2025-06-16 04:40:26,8375.08,Debit,Salary,Amazon
T00281,C0078,2025-05-07 03:49:02,1979.52,Debit,Food,Flipkart
T00282,C0212,2025-01-12 07:20:25,6335.73,Credit,Healthcare,Amazon
T00283,C0107,2025-03-16 18:55:17,9210.4,Debit,Healthcare,Swiggy
T00284,C0031,2025-04-29 19:19:03,1332.78,Credit,Healthcare,Paytm
T00285,C0140,2025-02-07 04:07:43,2893.63,Debit,Shopping,Zomato
T00286,C0127,2025-01-28 01:22:01,5751.68,Debit,Shopping,Uber
T00287,C0002,2025-06-05 19:01:49,3284.73,Credit,Shopping,Paytm
T00288,C0420,2025-07-04 01:33:10,180.11,Credit,Food,Amazon
T00289,C0347,2025-03-27 19:41:49,6098.81,Debit,Salary,Uber
T00290,C0423,2025-04-20 14:15:42,7331.87,Debit,Healthcare,Goldman Sachs
T00291,C0073,2025-06-24 15:20:31,775.7,Debit,Shopping,Goldman Sachs
T00292,C0114,2025-04-06 01:55:57,176.24,Credit,Healthcare,Uber
T00293,C0018,2025-03-27 09:21:41,4027.46,Debit,Healthcare,Swiggy
T00294,C0130,2025-07-08 13:20:30,9215.39,Credit,Food,Paytm
T00295,C0491,2025-06-08 09:47:13,2206.92,Credit,Healthcare,Amazon
T00296,C0346,2025-05-16 19:02:55,2037.39,Debit,Bills,Goldman Sachs
T00297,C0466,2025-06-20 18:22:07,7146.88,Credit,Shopping,Uber
T00298,C0498,2025-03-04 05:05:30,3678.63,Credit,Healthcare,Flipkart
T00299,C0332,2025-02-15 16:45:26,9524.08,Credit,Shopping,Amazon
T00300,C0224,2025-06-25 06:18:56,7436.71,Credit,Shopping,Flipkart
T00301,C0231,2025-03-02 22:45:37,1501.92,Debit,Healthcare,Goldman Sachs
T00302,C0141,2025-02-05 20:59:35,2726.29,Credit,Bills,Uber
T00303,C0369,2025-02-07 20:16:34,3124.79,Credit,Bills,Paytm
T00304,C0313,2025-06-02 02:25:17,8473.12,Credit,Salary,Paytm
T00305,C0371,2025-01-20 03:34:17,4214.01,Debit,Salary,Flipkart
T00306,C0066,2025-03-08 09:07:15,865.82,Credit,Salary,Flipkart
T00307,C0045,2025-02-21 06:40:32,3940.67,Credit,Shopping,Swiggy
T00308,C0164,2025-03-28 11:35:13,3985.26,Credit,Healthcare,Paytm
T00309,C0278,2025-05-23 05:05:21,7948.7,Credit,Shopping,Amazon
T00310,C0018,2025-06-18 20:01:44,7253.78,Credit,Food,Goldman Sachs
T00311,C0393,2025-03-11 10:33:21,2416.9,Credit,Food,Paytm
T00312,C0273,2025-03-03 04:55:41,65.99,Debit,Shopping,Flipkart
T00313,C0222,2025-06-04 02:17:14,5799.33,Debit,Bills,Amazon
T00314,C0159,2025-02-28 03:29:06,6078.06,Debit,Healthcare,Zomato
T00315,C0409,2025-06-15 16:08:05,5530.99,Credit,Travel,Paytm
T00316,C0371,2025-05-28 00:11:52,789.0,Debit,Travel,Paytm
T00317,C0197,2025-04-29 08:55:44,7630.59,Debit,Travel,Amazon
T00318,C0406,2025-04-21 11:38:51,7170.73,Debit,Healthcare,Paytm
T00319,C0100,2025-05-14 08:47:35,2184.1,Credit,Food,Paytm
T00320,C0263,2025-05-09 08:26:59,9163.62,Credit,Food,Paytm
T00321,C0025,2025-01-30 04:35:39,6570.53,Debit,Healthcare,Amazon
T00322,C0440,2025-02-14 20:06:18,1609.54,Debit,Travel,Zomato
T00323,C0124,2025-02-14 14:42:49,6584.74,Credit,Healthcare,Zomato
T00324,C0427,2025-03-07 01:22:46,5096.76,Credit,Food,Goldman Sachs
T00325,C0416,2025-04-15 23:12:21,3761.22,Credit,Travel,Goldman Sachs
T00326,C0161,2025-03-03 12:59:29,8257.45,Credit,Bills,Paytm
T00327,C0088,2025-07-05 21:55:35,4573.08,Credit,Bills,Amazon
T00328,C0439,2025-03-11 00:05:50,1472.09,Credit,Salary,Flipkart
T00329,C0259,2025-02-18 18:13:51,8352.98,Credit,Food,Swiggy
T00330,C0121,2025-05-24 20:49:39,7677.98,Credit,Salary,Zomato
T00331,C0349,2025-03-16 03:15:50,8090.56,Credit,Healthcare,Swiggy
T00332,C0017,2025-04-01 08:59:55,8712.36,Credit,Healthcare,Paytm
T00333,C0318,2025-05-20 15:41:17,5776.65,Credit,Salary,Uber
T00334,C0339,2025-06-02 20:49:20,7347.85,Debit,Travel,Uber
T00335,C0230,2025-03-25 22:31:08,812.46,Credit,Food,Flipkart
T00336,C0218,2025-02-04 11:30:14,6970.95,Debit,Travel,Flipkart
T00337,C0005,2025-03-22 09:24:42,1110.67,Debit,Food,Flipkart
T00338,C0280,2025-05-30 04:30:23,1043.73,Debit,Shopping,Amazon
T00339,C0409,2025-05-24 16:43:38,2632.94,Credit,Salary,Flipkart
T00340,C0079,2025-02-26 00:41:22,4180.25,Debit,Salary,Flipkart
T00341,C0180,2025-02-23 13:28:05,9527.0,Debit,Shopping,Goldman Sachs
T00342,C0376,2025-05-11 14:06:28,7679.63,Debit,Healthcare,Amazon
T00343,C0134,2025-03-18 04:13:15,1464.1,Credit,Healthcare,Swiggy
T00344,C0181,2025-06-19 03:03:50,9765.58,Credit,Travel,Paytm
T00345,C0441,2025-06-10 03:14:56,1444.77,Credit,Bills,Swiggy
T00346,C0028,2025-06-29 14:48:37,4193.76,Credit,Travel,Paytm
T00347,C0129,2025-01-26 16:28:33,8413.85,Credit,Travel,Goldman Sachs
T00348,C0124,2025-03-29 10:33:27,2342.4,Credit,Healthcare,Uber
